班级,星期,节次,课程,教室,教师,周次
土木3231,周一,1-4节,文献检索与论文写作,机房231,张西根,1-6
土木3231,周一,1-4节,土木工程试验Ⅱ,实112,阳桥,14-15
土木3231,周一,1-4节,BIM技术应用综合实习实训,机房231,孙明娇,16
土木3231,周一,1-4节,土木工程综合实践,机房231,汪芳,17-18
土木3231,周一,1-4节,土木工程综合实践,机房231,阳桥,19-20
土木3231,周二,1-4节,土木工程试验Ⅱ,实112,阳桥,14-15
土木3231,周二,5-8节,BIM技术应用综合实习实训,机房231,孙明娇,16
土木3231,周二,5-8节,土木工程综合实践,机房231,汪芳,17-18
土木3231,周二,5-8节,土木工程综合实践,机房231,阳桥,19-20
土木3231,周三,1-4节,智能建造导论,实514,阳桥,6
土木3231,周三,1-4节,土木工程综合实践,机房231,汪芳,17-18
土木3231,周三,1-4节,土木工程综合实践,机房231,阳桥,19-20
土木3231,周三,3-4节,智能建造导论,1-208,阳桥,1-5
土木3231,周三,5-8节,结构设计软件应用,机房232,李琳,1-6
土木3231,周三,5-8节,土木工程试验Ⅱ,实112,阳桥,14-15
土木3231,周三,5-8节,BIM技术应用综合实习实训,机房231,孙明娇,16
土木3231,周四,1-4节,BIM技术应用综合实习实训,机房231,孙明娇,16
土木3231,周四,1-4节,土木工程综合实践,机房231,汪芳,17-18
土木3231,周四,1-4节,土木工程综合实践,机房231,阳桥,19-20
土木3231,周四,5-8节,土木工程试验Ⅱ,实112,阳桥,14-15
土木3231,周五,1-4节,BIM技术创新与实践,机房231,李琳,1-8
土木3231,周五,7-8节,智能建造导论,1-206,阳桥,1-5
土木3232,周一,1-4节,文献检索与论文写作,机房231,张西根,1-6
土木3232,周一,5-8节,土木工程试验Ⅱ,实514,阳桥,14-15
土木3232,周一,5-8节,BIM技术应用综合实习实训,机房231,李琳,16
土木3232,周一,5-8节,土木工程综合实践,机房231,汪芳,17-18
土木3232,周一,5-8节,土木工程综合实践,机房231,阳桥,19-20
土木3232,周二,1-4节,BIM技术应用综合实习实训,机房231,李琳,16
土木3232,周二,1-4节,土木工程综合实践,机房231,汪芳,17-18
土木3232,周二,1-4节,土木工程综合实践,机房231,阳桥,19-20
土木3232,周二,5-8节,土木工程试验Ⅱ,实514,阳桥,14-15
土木3232,周三,1-4节,土木工程试验Ⅱ,实514,阳桥,14-15
土木3232,周三,1-4节,BIM技术应用综合实习实训,机房231,李琳,16
土木3232,周三,3-4节,智能建造导论,1-208,阳桥,1-5
土木3232,周三,5-8节,结构设计软件应用,机房232,李琳,1-6
土木3232,周三,5-8节,土木工程综合实践,机房231,汪芳,17-18
土木3232,周三,5-8节,土木工程综合实践,机房231,阳桥,19-20
土木3232,周四,1-4节,土木工程试验Ⅱ,实514,阳桥,14-15
土木3232,周五,1-4节,BIM技术创新与实践,机房231,李琳,1-8
土木3232,周五,5-8节,智能建造导论,实514,阳桥,6
土木3232,周五,5-8节,BIM技术应用综合实习实训,机房231,李琳,16
土木3232,周五,5-8节,土木工程综合实践,机房231,汪芳,17-18
土木3232,周五,5-8节,土木工程综合实践,机房231,阳桥,19-20
土木3232,周五,7-8节,智能建造导论,1-206,阳桥,1-5
土木3233,周一,1-4节,文献检索与论文写作,机房231,张西根,1-6
土木3233,周一,1-4节,BIM技术应用综合实习实训,机房232,李琳,16
土木3233,周一,5-8节,土木工程综合实践,机房232,杨丽平,17-18
土木3233,周一,5-8节,土木工程综合实践,机房232,汪芳,19-20
土木3233,周二,1-4节,土木工程试验Ⅱ,实514,赵涛,14-15
土木3233,周二,5-8节,智能建造导论,实514,阳桥,6
土木3233,周二,5-8节,BIM技术应用综合实习实训,机房232,李琳,16
土木3233,周三,3-4节,智能建造导论,1-208,阳桥,1-5
土木3233,周三,5-8节,结构设计软件应用,机房232,李琳,1-6
土木3233,周三,5-8节,土木工程试验Ⅱ,实514,赵涛,14-15
土木3233,周三,5-8节,BIM技术应用综合实习实训,机房232,李琳,16
土木3233,周三,5-8节,土木工程综合实践,机房232,杨丽平,17-18
土木3233,周三,5-8节,土木工程综合实践,机房232,汪芳,19-20
土木3233,周四,1-4节,土木工程试验Ⅱ,实112,赵涛,14-15
土木3233,周四,1-4节,土木工程综合实践,机房232,杨丽平,17-18
土木3233,周四,1-4节,土木工程综合实践,机房232,汪芳,19-20
土木3233,周五,1-4节,BIM技术创新与实践,机房231,李琳,1-8
土木3233,周五,1-4节,BIM技术应用综合实习实训,机房232,李琳,16
土木3233,周五,1-4节,土木工程综合实践,机房232,杨丽平,17-18
土木3233,周五,1-4节,土木工程综合实践,机房232,汪芳,19-20
土木3233,周五,5-8节,土木工程试验Ⅱ,实112,赵涛,14-15
土木3233,周五,7-8节,智能建造导论,1-206,阳桥,1-5
土木3234,周一,1-4节,智能建造导论,实514,阳桥,6
土木3234,周一,1-4节,土木工程综合实践,实523,赵涛,17-18
土木3234,周一,1-4节,土木工程综合实践,实523,何桥敏,19-20
土木3234,周一,5-8节,桥梁检测Ⅱ,实112,靳帮虎,14-15
土木3234,周一,5-8节,路桥虚拟仿真实训,实523,何桥敏,16
土木3234,周一,7-8节,智能建造导论,1-304,阳桥,1-5
土木3234,周二,3-4节,道路工程识图与绘图Ⅰ,机房232,何桥敏,1-6
土木3234,周二,5-8节,桥梁检测Ⅱ,实112,靳帮虎,14-15
土木3234,周二,5-8节,路桥虚拟仿真实训,实523,何桥敏,16
土木3234,周二,5-8节,土木工程综合实践,实523,赵涛,17-18
