班级,星期,节次,课程,教室,教师,周次
造价3231,周一,1-2节,工程造价管理Ⅰ,2-203（智慧教室）,秦芳,3-10
造价3232,周一,1-2节,工程造价管理Ⅰ,2-203（智慧教室）,秦芳,3-10
城规3231,周一,1-4节,时空大数据处理技术Ⅱ,图五楼（土建专用2）,汪思梦,5
城规3231,周一,1-4节,时空大数据处理技术Ⅱ,图五楼（土建专用2）,汪思梦,6-8
城规3232,周一,1-4节,时空大数据处理技术Ⅱ,图五楼（土建专用2）,汪思梦,5
城规3232,周一,1-4节,时空大数据处理技术Ⅱ,图五楼（土建专用2）,汪思梦,6-8
造价3232,周一,1-8节,工程识图实训,机房232,王玉川,1-2
造价3233,周一,1-8节,工程识图实训,实524,冉冬琴,1-2
造价3233,周一,3-4节,工程造价管理Ⅰ,2-209（智慧教室）,秦芳,3-10
造价3234,周一,3-4节,工程造价管理Ⅰ,2-209（智慧教室）,秦芳,3-10
城规3231,周一,5-8节,城市设计Ⅰ,图五楼（土建专用1）,张力文,7-9
城规3231,周一,5-8节,城市设计Ⅰ,图五楼（土建专用1）,张力文,10-12
城规3232,周一,5-8节,城市设计Ⅰ,图五楼（土建专用1）,张力文,7-9
城规3232,周一,5-8节,城市设计Ⅰ,图五楼（土建专用1）,张力文,10-12
造价3231,周一,5-8节,智能建造概论,实512,宋冬冬,8
造价3231,周二,1-4节,建筑信息建模(BIM)技术应用,机房231,刘依莲,3-10
造价3232,周二,1-4节,建筑信息建模(BIM)技术应用,机房231,刘依莲,3-10
造价3233,周二,1-4节,智能建造概论,实512,宋冬冬,8
造价3231,周二,1-8节,工程识图实训,机房231,王玉川,1-2
造价3234,周二,1-8节,工程识图实训,实524,冉冬琴,1-2
城规3231,周二,3-4节,文献检索与论文写作,图五楼（土建专用2）,胡琳,1-3
城规3231,周二,3-4节,文献检索与论文写作,图五楼（土建专用2）,胡琳,4-6
城规3232,周二,3-4节,文献检索与论文写作,图五楼（土建专用2）,胡琳,1-3
城规3232,周二,3-4节,文献检索与论文写作,图五楼（土建专用2）,胡琳,4-6
造价3233,周二,5-6节,文献检索与论文写作,3-109,赫桂梅,3-8
造价3234,周二,5-6节,文献检索与论文写作,3-109,赫桂梅,3-8
城规3231,周二,5-8节,村庄规划,图五楼（土建专用2）,贾潞娟,1-3
城规3231,周二,5-8节,村庄规划,图五楼（土建专用2）,贾潞娟,4-6
城规3232,周二,5-8节,村庄规划,图五楼（土建专用2）,贾潞娟,1-3
城规3232,周二,5-8节,村庄规划,图五楼（土建专用2）,贾潞娟,4-6
造价3232,周二,5-8节,智能建造概论,实512,宋冬冬,8
城规3231,周三,1-4节,城市设计Ⅰ,图五楼（土建专用1）,张力文,7-9
城规3231,周三,1-4节,城市设计Ⅰ,图五楼（土建专用1）,张力文,10-12
城规3232,周三,1-4节,城市设计Ⅰ,图五楼（土建专用1）,张力文,7-9
